NOME;FASE;TURMA;INSTITUICAO_ENSINO_ALUNO;SINALIZADOR_INGRESSANTE;PEDRA;INDE;IAA;IEG;IPS;IDA;IPP;REC_EQUIPE_1;REC_EQUIPE_2;REC_EQUIPE_3;REC_EQUIPE_4;PONTO_VIRADA;IPV;IAN;NIVEL_IDEAL;DEFASAGEM;ANO
ALUNO-1;2.0;G;Rede Decisão;Ingressante;Ametista;7.319;7.5;6.3;6.9;8.8;7.7;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;8.1;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-3;3.0;F;Escola Pública;Veterano;Ametista;7.021;7.1;6.9;6.3;5.6;7.3;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7.2;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-5;2.0;L;Escola Pública;Veterano;Ametista;7.399;7.4;7.5;7.5;5.4;8.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.4;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-8;5.0;L;Rede Decisão;Veterano;Topázio;8.269;8.8;8.6;7.5;7.1;8.0;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não;8.5;10.0;Nível 5 (1o EM);0.0;2021
ALUNO-11;1.0;A;Rede Decisão;Veterano;Topázio;8.99;9.0;10.0;6.3;8.8;7.7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Sim;9.7;10.0;Nível 1 (4o ano);0.0;2021
ALUNO-13;0.0;T;Escola Pública;Ingressante;Quartzo;3.413;8.0;0.0;7.5;0.8;0.0;Não avaliado;Não avaliado;Não avaliado;Não avaliado;Não;6.0;5.0;Nível 1 (4o ano);-1.0;2021
ALUNO-17;1.0;G;Escola Pública;Veterano;Ágata;6.14;9.5;4.2;7.5;2.6;8.4;Não avaliado;Mantido na Fase atual;Mantido na Fase + Bolsa;Não avaliado;Não;8.8;5.0;Nível 3 (7o e 8o ano);-2.0;2021
ALUNO-18;4.0;F;Escola Pública;Veterano;Ágata;5.666;10.0;3.3;6.3;5.3;7.7;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase atual;Mantido na Fase atual;Não;5.2;5.0;Nível 5 (1o EM);-1.0;2021
ALUNO-19;2.0;C;Escola Pública;Ingressante;Ágata;6.751;9.0;6.3;7.5;4.6;7.7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.3;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-28;4.0;G;Rede Decisão;Ingressante;Topázio;9.079;8.3;9.2;7.5;8.8;9.4;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Sim;9.9;10.0;Nível 4 (9o ano);0.0;2021
ALUNO-29;3.0;D;Escola Pública;Ingressante;Ágata;6.342;9.6;5.3;7.5;3.8;7.5;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7.9;5.0;Nível 5 (1o EM);-2.0;2021
ALUNO-34;2.0;C;Escola Pública;Veterano;Ágata;6.129;6.9;2.9;7.5;5.5;7.7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.7;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-35;7.0;A;Escola Pública;Veterano;Topázio;8.416;9.2;9.4;7.5;8.2;8.4;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Sim;9.4;5.0;Nível 8 (Universitários);-1.0;2021
ALUNO-36;3.0;C;Escola Pública;Veterano;Ágata;6.246;8.3;6.4;3.8;4.7;7.3;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7.9;5.0;Nível 5 (1o EM);-2.0;2021
ALUNO-37;2.0;N;Escola Pública;Veterano;Ágata;6.154;0.0;5.4;6.9;6.5;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.7;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-38;3.0;L;Escola Pública;Ingressante;Ágata;6.847;3.8;6.9;7.5;5.1;7.5;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;7.8;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-40;5.0;B;Escola Pública;Ingressante;Ametista;7.334;9.2;7.8;7.5;6.0;8.3;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase atual;Não;8.0;5.0;Nível 6 (2o EM);-1.0;2021
ALUNO-41;2.0;C;Escola Pública;Veterano;Ágata;6.1;0.0;5.0;7.5;6.8;7.5;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Não;8.8;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-42;0.0;J;Escola Pública;Ingressante;Ágata;6.802;10.0;6.7;7.5;4.0;7.2;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.0;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-46;0.0;P;Escola Pública;Veterano;Topázio;8.471;8.5;10.0;7.5;6.9;8.1;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;Não;8.4;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-47;1.0;A;Escola Pública;Ingressante;Ágata;6.056;8.5;6.3;7.5;4.0;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5.8;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-51;1.0;F;Escola Pública;Ingressante;Ametista;8.051;9.0;9.2;7.5;5.4;7.7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.6;10.0;Nível 1 (4o ano);0.0;2021
ALUNO-54;3.0;B;Escola Pública;Ingressante;Ágata;6.388;7.5;5.8;7.5;4.1;7.3;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não;5.8;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-55;7.0;A;Rede Decisão;Veterano;Ametista;8.219;9.6;8.9;8.1;7.6;8.1;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Sim;9.2;5.0;Nível 8 (Universitários);-1.0;2021
ALUNO-56;6.0;A;Escola Pública;Ingressante;Ágata;6.777;8.8;7.5;5.6;5.5;7.8;Promovido de Fase;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Não;7.2;5.0;Nível 7 (3o EM);-1.0;2021
ALUNO-57;7.0;A;Rede Decisão;Veterano;Ametista;7.213;8.3;6.9;6.3;6.0;7.7;Mantido na Fase atual;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não;7.0;10.0;Nível 7 (3o EM);0.0;2021
ALUNO-60;6.0;C;Rede Decisão;Veterano;Ametista;6.956;7.9;7.5;6.9;6.1;7.2;Mantido na Fase atual;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Não;7.7;5.0;Nível 8 (Universitários);-2.0;2021
ALUNO-61;1.0;M;Escola Pública;Veterano;Quartzo;3.017;0.0;1.3;5.6;0.0;6.9;Mantido na Fase atual;Não avaliado;Mantido na Fase atual;Não avaliado;Não;5.1;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-62;2.0;L;Escola Pública;Veterano;Ágata;5.704;8.5;4.6;7.5;3.1;8.1;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.2;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-65;0.0;R;Escola Pública;Ingressante;Topázio;8.438;10.0;10.0;7.5;6.9;8.1;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não avaliado;Não avaliado;Sim;10.0;5.0;Nível 1 (4o ano);-1.0;2021
ALUNO-66;2.0;E;Escola Pública;Ingressante;Ágata;6.875;8.0;6.3;7.5;5.9;8.5;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;7.7;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-67;1.0;J;Escola Pública;Ingressante;Quartzo;4.939;7.4;3.3;7.5;1.1;8.3;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.1;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-75;4.0;L;Rede Decisão;Veterano;Topázio;9.108;10.0;9.2;7.5;8.5;8.8;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Sim;9.7;10.0;Nível 3 (7o e 8o ano);1.0;2021
ALUNO-76;1.0;B;Escola Pública;Veterano;Topázio;8.869;10.0;10.0;7.5;7.6;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Sim;9.2;10.0;ALFA  (2o e 3o ano);1.0;2021
ALUNO-77;0.0;J;Escola Pública;Ingressante;Ametista;7.854;9.5;10.0;7.5;6.4;7.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;8.1;5.0;Nível 1 (4o ano);-1.0;2021
ALUNO-78;1.0;B;Escola Pública;Ingressante;Ágata;6.339;8.9;9.2;7.5;2.6;7.3;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5.6;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-81;5.0;L;Rede Decisão;Veterano;Ágata;6.188;6.3;5.8;2.5;6.5;8.1;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não;7.7;5.0;Nível 6 (2o EM);-1.0;2021
ALUNO-83;5.0;B;Rede Decisão;Veterano;Ágata;5.987;6.7;6.4;3.8;3.0;7.3;Promovido de Fase + Bolsa;Mantido na Fase atual;Promovido de Fase + Bolsa;Mantido na Fase atual;Não;6.7;10.0;Nível 5 (1o EM);0.0;2021
ALUNO-84;1.0;A;Escola Pública;Ingressante;Ametista;7.867;3.5;10.0;7.5;6.8;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.3;10.0;Nível 1 (4o ano);0.0;2021
ALUNO-85;0.0;P;Escola Pública;Veterano;Ágata;6.652;9.5;6.7;6.3;6.9;4.7;Promovido de Fase;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.0;5.0;Nível 2 (5o e 6o ano);-2.0;2021
ALUNO-87;5.0;L;Rede Decisão;Veterano;Ametista;8.004;7.9;7.8;7.5;7.8;8.1;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Mantido na Fase atual;Não;7.7;10.0;Nível 5 (1o EM);0.0;2021
ALUNO-88;2.0;D;Rede Decisão;Veterano;Ametista;8.096;9.5;9.6;6.3;7.4;8.1;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Sim;9.1;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-90;4.0;L;Escola Pública;Veterano;Ágata;5.994;7.1;5.0;7.5;4.6;7.2;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não;7.0;5.0;Nível 5 (1o EM);-1.0;2021
ALUNO-91;2.0;H;Escola Pública;Veterano;Quartzo;4.2;9.5;0.0;7.5;2.2;5.6;Mantido na Fase atual;Não avaliado;Não avaliado;Não avaliado;Não;2.5;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-93;0.0;L;Escola Pública;Ingressante;Ágata;6.248;8.0;4.2;7.5;5.1;6.6;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;5.9;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-94;4.0;F;Escola Pública;Ingressante;Ágata;5.923;7.5;3.6;7.5;4.6;7.3;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não;5.2;10.0;Nível 3 (7o e 8o ano);1.0;2021
ALUNO-95;4.0;F;Escola Pública;Veterano;Quartzo;4.957;8.3;5.6;7.5;1.3;6.9;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;4.1;5.0;Nível 6 (2o EM);-2.0;2021
ALUNO-97;2.0;D;Escola Pública;Veterano;Ágata;6.317;8.0;5.8;7.5;5.8;7.5;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;6.0;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-98;3.0;D;Escola Pública;Ingressante;Ametista;6.953;9.2;6.4;7.5;6.3;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.5;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-100;1.0;M;Escola Pública;Veterano;Quartzo;3.117;8.5;0.0;3.8;0.0;6.3;Mantido na Fase atual;Não avaliado;Mantido na Fase atual;Não avaliado;Não;3.8;5.0;Nível 3 (7o e 8o ano);-2.0;2021
ALUNO-102;1.0;J;Escola Pública;Veterano;Ágata;6.704;6.3;7.5;7.5;4.8;7.9;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.8;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-103;1.0;F;Escola Pública;Veterano;Ametista;8.076;9.5;8.8;6.3;6.2;7.9;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.6;10.0;Nível 1 (4o ano);0.0;2021
ALUNO-104;0.0;J;Escola Pública;Ingressante;Ametista;8.01;9.0;10.0;7.5;6.4;7.2;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.8;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-105;4.0;E;Escola Pública;Veterano;Quartzo;4.956;10.0;1.1;7.5;2.8;6.7;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;3.7;10.0;Nível 4 (9o ano);0.0;2021
ALUNO-106;1.0;N;Escola Pública;Veterano;Ametista;8.242;10.0;7.9;7.5;7.9;8.3;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Sim;10.0;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-109;6.0;A;Escola Pública;Ingressante;Ametista;7.36;7.5;6.7;7.5;7.8;8.4;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Não;8.2;5.0;Nível 7 (3o EM);-1.0;2021
ALUNO-111;4.0;L;Escola Pública;Veterano;Ametista;7.222;8.3;8.1;7.5;6.0;8.4;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Promovido de Fase;Não;7.4;5.0;Nível 5 (1o EM);-1.0;2021
ALUNO-112;4.0;F;Escola Pública;Ingressante;Ágata;6.098;9.2;3.1;6.9;6.2;7.7;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não;6.9;5.0;Nível 5 (1o EM);-1.0;2021
ALUNO-113;2.0;K;Escola Pública;Veterano;Ágata;6.664;9.5;7.1;7.5;4.6;8.1;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.6;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-117;2.0;N;Escola Pública;Veterano;Ametista;7.774;8.5;7.1;7.5;7.1;8.3;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.6;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-118;1.0;B;Escola Pública;Veterano;Topázio;8.299;8.5;9.6;7.5;6.9;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.2;10.0;Nível 1 (4o ano);0.0;2021
ALUNO-120;1.0;A;Escola Pública;Veterano;Ametista;7.096;8.5;8.3;7.5;6.1;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.8;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-124;0.0;T;Escola Pública;Ingressante;Topázio;8.275;9.0;8.3;7.5;6.1;8.1;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;Sim;9.7;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-125;2.0;P;Escola Pública;Veterano;Ágata;6.461;6.3;4.6;7.5;4.6;7.9;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;7.2;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-126;0.0;P;Escola Pública;Ingressante;Ágata;6.069;9.0;4.2;7.5;4.5;7.2;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.3;5.0;Nível 1 (4o ano);-1.0;2021
ALUNO-127;1.0;A;Escola Pública;Ingressante;Ametista;6.907;10.0;7.1;7.5;5.6;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.9;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-128;0.0;I;Escola Pública;Veterano;Quartzo;5.229;7.9;6.7;4.4;4.0;2.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;5.6;5.0;Nível 2 (5o e 6o ano);-2.0;2021
ALUNO-129;2.0;H;Escola Pública;Ingressante;Ágata;5.819;7.4;4.2;7.5;4.6;7.2;Mantido na Fase atual;Não avaliado;Mantido na Fase atual;Não avaliado;Não;4.3;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-133;1.0;F;Escola Pública;Veterano;Ametista;7.99;9.5;9.6;7.5;7.1;7.7;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.4;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-135;1.0;A;Escola Pública;Veterano;Ágata;5.788;9.5;4.2;6.3;3.6;6.9;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;7.3;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-137;0.0;R;Escola Pública;Ingressante;Ágata;6.012;8.0;5.8;7.5;5.3;5.0;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.2;5.0;Nível 1 (4o ano);-1.0;2021
ALUNO-143;3.0;H;Escola Pública;Ingressante;Ágata;6.278;7.9;4.4;6.3;4.3;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.8;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-149;7.0;A;Rede Decisão;Veterano;Topázio;8.36;8.8;8.1;6.9;7.4;8.3;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Sim;9.4;10.0;Nível 7 (3o EM);0.0;2021
ALUNO-151;2.0;J;Rede Decisão;Veterano;Topázio;9.004;9.5;9.6;8.1;9.1;10.0;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Sim;10.0;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-152;3.0;B;Rede Decisão;Veterano;Topázio;8.672;8.8;8.3;7.5;8.0;8.3;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Sim;9.8;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-153;4.0;F;Rede Decisão;Veterano;Topázio;8.355;10.0;7.5;7.5;7.5;8.0;Promovido de Fase;Promovido de Fase;Promovido de Fase;Promovido de Fase;Sim;9.0;10.0;Nível 4 (9o ano);0.0;2021
ALUNO-154;1.0;N;Escola Pública;Veterano;Quartzo;5.163;9.5;2.9;7.5;1.5;8.1;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.3;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-155;6.0;C;Escola Pública;Ingressante;Quartzo;5.082;7.1;5.3;0.0;3.4;8.1;Mantido na Fase + Bolsa;Promovido de Fase;Não avaliado;Não avaliado;Não;6.6;5.0;Nível 7 (3o EM);-1.0;2021
ALUNO-156;3.0;J;Rede Decisão;Veterano;Ametista;7.981;7.5;7.8;6.3;7.3;8.3;Mantido na Fase atual;Promovido de Fase;Promovido de Fase;Não avaliado;Não;8.8;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-158;4.0;F;Escola Pública;Veterano;Ágata;6.056;8.3;6.1;6.9;4.5;6.9;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Mantido na Fase atual;Não;6.1;5.0;Nível 5 (1o EM);-1.0;2021
ALUNO-159;0.0;O;Escola Pública;Ingressante;Ametista;8.025;9.0;10.0;7.5;6.1;8.1;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Sim;9.3;5.0;Nível 1 (4o ano);-1.0;2021
ALUNO-162;1.0;B;Escola Pública;Veterano;Ametista;7.531;8.5;10.0;7.5;6.6;7.5;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;6.8;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-164;2.0;C;Escola Pública;Veterano;Ametista;7.125;9.5;5.8;7.5;5.9;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;6.7;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-165;1.0;R;Escola Pública;Veterano;Ametista;7.579;10.0;7.5;7.5;7.3;8.3;Promovido de Fase;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;7.7;5.0;Nível 3 (7o e 8o ano);-2.0;2021
ALUNO-167;1.0;A;Escola Pública;Ingressante;Ametista;7.639;10.0;9.2;7.5;5.8;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.3;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-168;2.0;R;Escola Pública;Veterano;Quartzo;3.524;0.0;1.7;5.6;2.5;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;4.4;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-169;0.0;I;Escola Pública;Veterano;Ametista;6.898;8.5;10.0;4.4;6.1;5.3;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.8;5.0;Nível 1 (4o ano);-1.0;2021
ALUNO-171;3.0;A;Escola Pública;Ingressante;Ametista;8.036;8.8;8.9;7.5;7.5;8.3;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Não avaliado;Sim;9.0;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-173;5.0;F;Escola Pública;Veterano;Ágata;6.532;9.6;6.7;5.0;4.9;7.7;Mantido na Fase atual;Mantido na Fase + Bolsa;Promovido de Fase;Mantido na Fase atual;Não;7.5;5.0;Nível 7 (3o EM);-2.0;2021
ALUNO-176;2.0;I;Escola Pública;Veterano;Ágata;5.674;7.5;6.3;5.0;4.3;6.7;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;5.7;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-177;0.0;L;Escola Pública;Ingressante;Ametista;7.196;9.0;8.3;7.5;4.6;6.9;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;6.3;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-184;2.0;I;Escola Pública;Ingressante;Ametista;7.896;8.5;9.2;7.5;5.6;7.5;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;8.0;10.0;Nível 2 (5o e 6o ano);0.0;2021
ALUNO-185;0.0;M;Escola Pública;Ingressante;Ametista;7.906;8.0;10.0;7.5;5.4;7.2;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;7.8;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-188;3.0;C;Escola Pública;Veterano;Ágata;6.435;7.1;5.8;7.5;4.7;8.1;Promovido de Fase;Promovido de Fase + Bolsa;Mantido na Fase atual;Não avaliado;Não;7.8;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-193;3.0;F;Escola Pública;Veterano;Ametista;8.215;9.2;10.0;5.6;7.7;7.9;Promovido de Fase + Bolsa;Promovido de Fase + Bolsa;Mantido na Fase atual;Não avaliado;Sim;9.6;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-197;3.0;G;Rede Decisão;Veterano;Ametista;7.751;8.3;7.2;7.5;6.0;8.1;Promovido de Fase;Promovido de Fase;Promovido de Fase;Não avaliado;Não;8.6;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-200;4.0;F;Escola Pública;Veterano;Quartzo;4.788;7.5;1.7;6.9;3.3;6.7;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;3.5;10.0;Nível 4 (9o ano);0.0;2021
ALUNO-201;4.0;L;Escola Pública;Veterano;Ágata;5.636;5.8;5.6;0.0;6.4;8.3;Promovido de Fase;Promovido de Fase;Não avaliado;Promovido de Fase;Não;6.7;5.0;Nível 5 (1o EM);-1.0;2021
ALUNO-206;7.0;A;Escola Pública;Veterano;Quartzo;5.143;8.8;4.2;0.0;2.0;7.7;Mantido na Fase atual;Promovido de Fase + Bolsa;Não avaliado;Mantido na Fase atual;Não;6.3;10.0;Nível 7 (3o EM);0.0;2021
ALUNO-207;3.0;H;Escola Pública;Ingressante;Quartzo;5.504;8.3;3.9;6.9;5.3;7.5;Promovido de Fase;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;4.4;5.0;Nível 4 (9o ano);-1.0;2021
ALUNO-208;2.0;D;Escola Pública;Veterano;Ágata;6.45;7.0;6.3;7.5;4.5;7.5;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;8.0;5.0;Nível 3 (7o e 8o ano);-1.0;2021
ALUNO-209;1.0;N;Escola Pública;Veterano;Ametista;7.167;8.5;7.9;7.5;4.2;8.1;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Sim;9.2;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-212;0.0;M;Escola Pública;Veterano;Ágata;5.663;9.5;8.3;5.0;4.3;2.5;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não avaliado;Não;4.7;5.0;Nível 1 (4o ano);-1.0;2021
ALUNO-213;3.0;C;Escola Pública;Veterano;Topázio;8.761;9.6;9.4;7.5;7.5;8.8;Promovido de Fase;Promovido de Fase + Bolsa;Promovido de Fase;Não avaliado;Não;8.9;10.0;Nível 3 (7o e 8o ano);0.0;2021
ALUNO-217;1.0;G;Escola Pública;Veterano;Ametista;7.765;8.5;8.8;7.5;7.1;8.1;Mantido na Fase atual;Mantido na Fase atual;Promovido de Fase;Não avaliado;Não;8.4;5.0;Nível 2 (5o e 6o ano);-1.0;2021
ALUNO-218;0.0;T;Escola Pública;Ingressante;Topázio;8.821;9.5;10.0;7.5;6.9;8.1;Promovido de Fase;Promovido de Fase;Não avaliado;Não avaliado;Sim;9.7;10.0;ALFA  (2o e 3o ano);0.0;2021
ALUNO-219;2.0;K;Escola Pública;Veterano;Quartzo;4.176;0.0;4.2;6.9;1.9;8.1;Mantido na Fase atual;Mantido na Fase atual;Mantido na Fase atual;Não avaliado;Não;4.8;5.0;Nível 3 (7o e 8o ano);-1.0;2021
